iter	Passed	Remaining
0	4	4795
1	8	4127
2	10	3431
3	13	3384
4	15	3171
5	18	3069
6	23	3273
7	25	3157
8	27	3057
9	30	2984
10	32	2925
11	34	2871
12	37	2852
13	40	2819
14	42	2783
15	44	2756
16	47	2745
17	49	2721
18	52	2712
19	54	2685
20	57	2663
21	59	2641
22	61	2615
23	66	2709
24	72	2833
25	76	2852
26	78	2843
27	81	2827
28	84	2824
29	89	2894
30	91	2872
31	94	2845
32	98	2890
33	101	2873
34	104	2870
35	106	2863
36	109	2840
37	111	2823
38	113	2804
39	116	2784
40	118	2769
41	121	2767
42	123	2746
43	125	2728
44	127	2711
45	130	2701
46	132	2689
47	134	2674
48	136	2658
49	139	2650
50	141	2635
51	144	2626
52	146	2612
53	148	2597
54	150	2582
55	152	2576
56	155	2567
57	158	2575
58	161	2571
59	165	2595
60	169	2605
61	172	2607
62	175	2609
63	181	2647
64	192	2767
65	195	2762
66	198	2759
67	205	2812
68	213	2884
69	219	2910
70	227	2971
71	229	2962
72	236	3001
73	238	2987
74	241	2983
75	244	2968
76	246	2956
77	251	2969
78	253	2960
79	256	2947
80	258	2933
81	260	2920
82	265	2931
83	269	2934
84	272	2929
85	275	2928
86	279	2931
87	293	3037
88	298	3059
89	303	3066
90	306	3065
91	310	3067
92	316	3082
93	318	3071
94	322	3072
95	325	3063
96	328	3054
97	331	3055
98	335	3052
99	338	3048
100	341	3036
101	344	3030
102	347	3029
103	350	3022
104	356	3041
105	359	3031
106	362	3028
107	367	3032
108	371	3034
109	374	3029
110	377	3026
111	382	3032
112	386	3030
113	388	3019
114	392	3020
115	396	3021
116	399	3013
117	401	3004
118	404	2997
119	416	3050
120	420	3055
121	424	3054
122	428	3057
123	432	3053
124	435	3045
125	437	3037
126	446	3070
127	450	3070
128	464	3139
129	469	3142
130	471	3130
131	474	3122
132	480	3132
133	483	3127
134	486	3115
135	488	3104
136	491	3096
137	494	3087
138	496	3076
139	502	3087
140	506	3088
141	510	3085
142	513	3078
143	519	3085
144	523	3086
145	526	3077
146	529	3074
147	532	3068
148	535	3060
149	538	3054
150	542	3050
151	545	3044
152	548	3036
153	551	3031
154	554	3020
155	556	3012
156	560	3007
157	562	2998
158	565	2989
159	567	2980
160	570	2971
161	572	2961
162	575	2954
163	578	2946
164	580	2937
165	582	2928
166	585	2919
167	587	2910
168	590	2905
169	593	2896
170	595	2887
171	597	2877
172	600	2869
173	603	2863
174	605	2855
175	608	2846
176	618	2873
177	620	2865
178	622	2855
179	624	2846
180	627	2838
181	629	2829
182	631	2821
183	634	2813
184	636	2804
185	638	2796
186	641	2788
187	643	2778
188	645	2770
189	647	2760
190	649	2752
191	652	2746
192	655	2739
193	657	2731
194	659	2723
195	662	2717
196	665	2711
197	667	2704
198	670	2700
199	673	2692
200	676	2689
201	679	2682
202	681	2675
203	685	2674
204	687	2666
205	689	2659
206	695	2665
207	698	2659
208	700	2652
209	702	2644
210	705	2637
211	707	2629
212	709	2621
213	711	2613
214	719	2625
215	721	2620
216	725	2617
217	730	2621
218	733	2614
219	735	2607
220	737	2600
221	740	2593
222	742	2586
223	744	2580
224	747	2573
225	749	2566
226	751	2560
227	777	2633
228	780	2626
229	783	2623
230	786	2617
231	788	2611
232	792	2607
233	794	2601
234	797	2594
235	799	2586
236	801	2579
237	804	2575
238	807	2570
239	810	2565
240	812	2559
241	815	2553
242	818	2548
243	821	2546
244	824	2540
245	827	2535
246	829	2530
247	832	2525
248	835	2520
249	841	2523
250	844	2518
251	847	2515
252	850	2511
